Circuit,optimize_name,n_qubits,optimize_gates,optimize_t,optimize_2,optimize_other,optimize_depth,optimize_depth,time
tof_5,phase_basic_full_basic,9,112,31,63,18,0,0,0.030673742294311523
tof_5,phase_basic_clifford_basic,9,134,43,74,17,0,0,0.02439141273498535
tof_10,original,19,255,119,102,34,0,0,7.152557373046875e-07
tof_10,basic,19,247,103,102,42,0,0,0.007180213928222656
tof_10,phase_basic,19,247,103,102,42,0,0,0.029477357864379883
tof_10,basic_full_basic,19,255,71,132,52,0,0,0.0904388427734375
tof_10,phase_full_basic,19,266,71,130,65,0,0,0.14139008522033691
tof_10,basic_clifford_basic,19,329,103,184,42,0,0,0.08544206619262695
tof_10,phase_clifford_basic,19,329,103,184,42,0,0,0.09836769104003906
tof_10,phase_basic_full_basic,19,255,71,132,52,0,0,0.1148226261138916
tof_10,phase_basic_clifford_basic,19,329,103,184,42,0,0,0.10413384437561035
gf2^4_mult,original,12,243,112,99,32,0,0,4.76837158203125e-07
gf2^4_mult,basic,12,207,96,99,12,0,0,0.005493640899658203
gf2^4_mult,phase_basic,12,207,96,99,12,0,0,0.032836198806762695
gf2^4_mult,basic_full_basic,12,401,68,311,22,0,0,0.06463170051574707
gf2^4_mult,phase_full_basic,12,402,68,315,19,0,0,0.08812499046325684
gf2^4_mult,basic_clifford_basic,12,238,96,131,11,0,0,0.03743267059326172
gf2^4_mult,phase_clifford_basic,12,232,96,125,11,0,0,0.06170225143432617
gf2^4_mult,phase_basic_full_basic,12,401,68,311,22,0,0,0.0959160327911377
gf2^4_mult,phase_basic_clifford_basic,12,238,96,131,11,0,0,0.06411147117614746
gf2^5_mult,original,15,379,175,154,50,0,0,9.5367431640625e-07
gf2^5_mult,basic,15,319,155,154,10,0,0,0.009320735931396484
gf2^5_mult,phase_basic,15,319,155,154,10,0,0,0.051787376403808594
gf2^5_mult,basic_full_basic,15,578,115,452,11,0,0,0.11143708229064941
gf2^5_mult,phase_full_basic,15,625,115,499,11,0,0,0.15138840675354004
gf2^5_mult,basic_clifford_basic,15,351,155,186,10,0,0,0.07102537155151367
gf2^5_mult,phase_clifford_basic,15,351,155,186,10,0,0,0.10349726676940918
gf2^5_mult,phase_basic_full_basic,15,578,115,452,11,0,0,0.14909720420837402
gf2^5_mult,phase_basic_clifford_basic,15,351,155,186,10,0,0,0.11047148704528809
gf2^6_mult,original,18,545,252,221,72,0,0,4.76837158203125e-07
gf2^6_mult,basic,18,455,216,221,18,0,0,0.013786077499389648
gf2^6_mult,phase_basic,18,455,216,221,18,0,0,0.0769350528717041
gf2^6_mult,basic_full_basic,18,1070,150,860,60,0,0,0.23186516761779785
gf2^6_mult,phase_full_basic,18,1043,150,839,54,0,0,0.2631525993347168
gf2^6_mult,basic_clifford_basic,18,498,216,264,18,0,0,0.1401822566986084
gf2^6_mult,phase_clifford_basic,18,498,216,264,18,0,0,0.19596433639526367
gf2^6_mult,phase_basic_full_basic,18,1070,150,860,60,0,0,0.28895998001098633
gf2^6_mult,phase_basic_clifford_basic,18,498,216,264,18,0,0,0.20270943641662598
gf2^7_mult,original,21,741,343,300,98,0,0,9.5367431640625e-07
gf2^7_mult,basic,21,615,301,300,14,0,0,0.02151775360107422
gf2^7_mult,phase_basic,21,615,301,300,14,0,0,0.10943603515625
gf2^7_mult,basic_full_basic,21,1452,217,1178,57,0,0,0.35381555557250977
gf2^7_mult,phase_full_basic,21,1445,217,1158,70,0,0,0.4128100872039795
gf2^7_mult,basic_clifford_basic,21,662,301,347,14,0,0,0.23283886909484863
gf2^7_mult,phase_clifford_basic,21,668,301,353,14,0,0,0.31232500076293945
gf2^7_mult,phase_basic_full_basic,21,1452,217,1178,57,0,0,0.4275538921356201
gf2^7_mult,phase_basic_clifford_basic,21,662,301,347,14,0,0,0.3251326084136963
gf2^8_mult,original,24,981,448,405,128,0,0,7.152557373046875e-07
gf2^8_mult,basic,24,805,384,405,16,0,0,0.027179956436157227
gf2^8_mult,phase_basic,24,805,384,405,16,0,0,0.22561311721801758
gf2^8_mult,basic_full_basic,24,2132,264,1788,80,0,0,0.6608834266662598
gf2^8_mult,phase_full_basic,24,2151,264,1805,82,0,0,0.819082498550415
gf2^8_mult,basic_clifford_basic,24,871,384,471,16,0,0,0.40314745903015137
gf2^8_mult,phase_clifford_basic,24,856,384,456,16,0,0,0.5919671058654785
gf2^8_mult,phase_basic_full_basic,24,2132,264,1788,80,0,0,0.8437023162841797
gf2^8_mult,phase_basic_clifford_basic,24,871,384,471,16,0,0,0.6037998199462891
gf2^9_mult,original,27,1223,567,494,162,0,0,7.152557373046875e-07
gf2^9_mult,basic,27,1007,495,494,18,0,0,0.03711986541748047
gf2^9_mult,phase_basic,27,1007,495,494,18,0,0,0.21798300743103027
gf2^9_mult,basic_full_basic,27,2584,351,2151,82,0,0,0.7708032131195068
gf2^9_mult,phase_full_basic,27,2786,351,2352,83,0,0,1.0051147937774658
gf2^9_mult,basic_clifford_basic,27,1067,495,554,18,0,0,0.5794677734375
gf2^9_mult,phase_clifford_basic,27,1066,495,553,18,0,0,0.7260630130767822
gf2^9_mult,phase_basic_full_basic,27,2584,351,2151,82,0,0,0.9526841640472412
gf2^9_mult,phase_basic_clifford_basic,27,1067,495,554,18,0,0,0.7595949172973633
gf2^10_mult,original,30,1509,700,609,200,0,0,7.152557373046875e-07
gf2^10_mult,basic,30,1239,600,609,30,0,0,0.048447608947753906
gf2^10_mult,phase_basic,30,1239,600,609,30,0,0,0.2743642330169678
gf2^10_mult,basic_full_basic,30,3439,410,2903,126,0,0,1.2242937088012695
gf2^10_mult,phase_full_basic,30,3625,410,3071,144,0,0,1.5889570713043213
gf2^10_mult,basic_clifford_basic,30,1306,600,676,30,0,0,0.8855040073394775
gf2^10_mult,phase_clifford_basic,30,1305,600,675,30,0,0,0.9565694332122803
gf2^10_mult,phase_basic_full_basic,30,3439,410,2903,126,0,0,1.4959063529968262
gf2^10_mult,phase_basic_clifford_basic,30,1306,600,676,30,0,0,1.1110224723815918
gf2^16_mult,original,48,3885,1792,1581,512,0,0,7.152557373046875e-07
gf2^16_mult,basic,48,3149,1536,1581,32,0,0,0.1750502586364746
gf2^16_mult,phase_basic,48,3149,1536,1581,32,0,0,1.774169921875
gf2^16_mult,basic_full_basic,48,10437,1040,9152,245,0,0,11.271420001983643
gf2^16_mult,phase_full_basic,48,11155,1040,9832,283,0,0,11.155225992202759
gf2^16_mult,basic_clifford_basic,48,3303,1536,1735,32,0,0,5.434723615646362
gf2^16_mult,phase_clifford_basic,48,3320,1536,1752,32,0,0,6.7607948780059814
gf2^16_mult,phase_basic_full_basic,48,10437,1040,9152,245,0,0,12.562880754470825
gf2^16_mult,phase_basic_clifford_basic,48,3303,1536,1735,32,0,0,7.018886566162109
barenco_tof_3,original,5,60,28,24,8,0,0,4.76837158203125e-07
barenco_tof_3,basic,5,56,24,24,8,0,0,0.0012295246124267578
barenco_tof_3,phase_basic,5,56,24,24,8,0,0,0.00598597526550293
barenco_tof_3,basic_full_basic,5,53,16,28,9,0,0,0.008472442626953125
barenco_tof_3,phase_full_basic,5,53,16,28,9,0,0,0.011347055435180664
barenco_tof_3,basic_clifford_basic,5,62,24,30,8,0,0,0.0062716007232666016
barenco_tof_3,phase_clifford_basic,5,62,24,30,8,0,0,0.009562492370605469
barenco_tof_3,phase_basic_full_basic,5,53,16,28,9,0,0,0.01335287094116211
barenco_tof_3,phase_basic_clifford_basic,5,62,24,30,8,0,0,0.010633468627929688
barenco_tof_4,original,7,114,56,48,10,0,0,4.76837158203125e-07
barenco_tof_4,basic,7,109,48,48,13,0,0,0.0027213096618652344
barenco_tof_4,phase_basic,7,109,48,48,13,0,0,0.013637781143188477
barenco_tof_4,basic_full_basic,7,98,28,59,11,0,0,0.01965022087097168
barenco_tof_4,phase_full_basic,7,101,28,58,15,0,0,0.027999401092529297
barenco_tof_4,basic_clifford_basic,7,123,48,63,12,0,0,0.014127016067504883
